yil;Il;toplam;"Hastalık
Illness";"Aile
geçimsizliği
Family
incompatibility";"Geçim
zorluğu
Economic
problems";"Ticari
başarısızlık
Business
failure";"Hissi0ilişki0ve
istediği0ile0evlenememe
Emotional0relationship
and0not0marrying
the0person0wanted";"Öğrenim
başarısızlığı
Educational
failure";"Diğer
Other";"Bilinmeyen
Unknown";;;;;;;;;
2023;Adana;146;54;11;7;0;2;0;37;35;;;;;;;;;
2023;Adıyaman;20;3;0;0;0;0;0;7;10;;;;;;;;;
2023;Afyonkarahisar;44;9;3;1;0;0;0;11;20;;;;;;;;;
2023;Ağrı;21;2;2;2;0;0;0;5;10;;;;;;;;;
2023;Amasya;19;2;1;2;0;0;0;4;10;;;;;;;;;
2023;Ankara;293;105;21;23;1;12;0;106;25;;;;;;;;;
2023;Antalya;160;36;7;10;0;3;0;44;60;;;;;;;;;
2023;Artvin;5;2;0;0;0;0;0;1;2;;;;;;;;;
2023;Aydın;78;20;3;7;0;3;1;22;22;;;;;;;;;
2023;Balıkesir;90;19;1;5;1;2;0;23;39;;;;;;;;;
2023;Bilecik;7;0;3;0;0;0;0;0;4;;;;;;;;;
2023;Bingöl;11;4;1;0;0;0;0;4;2;;;;;;;;;
2023;Bitlis;13;3;1;1;0;1;0;4;3;;;;;;;;;
2023;Bolu;15;4;0;1;0;0;0;5;5;;;;;;;;;
2023;Burdur;19;2;0;1;0;0;0;8;8;;;;;;;;;
2023;Bursa;142;31;3;10;1;3;0;49;45;;;;;;;;;
2023;Çanakkale;38;7;3;3;0;1;0;7;17;;;;;;;;;
2023;Çankırı;7;3;1;0;0;0;0;2;1;;;;;;;;;
2023;Çorum;29;5;1;3;0;1;0;5;14;;;;;;;;;
2023;Denizli;76;19;4;7;0;5;0;17;24;;;;;;;;;
2023;Diyarbakır;95;25;3;4;0;0;0;34;29;;;;;;;;;
2023;Edirne;35;10;0;1;0;0;0;8;16;;;;;;;;;
2023;Elazığ;17;8;0;1;0;1;0;3;4;;;;;;;;;
2023;Erzincan;17;7;0;2;0;1;0;1;6;;;;;;;;;
2023;Erzurum;25;5;1;3;0;0;0;6;10;;;;;;;;;
2023;Eskişehir;44;13;1;5;0;0;0;12;13;;;;;;;;;
