"Yil
";"Cinsiyet
";"Toplam
";;Yasal medeni durum - Legal marital status;;;;;;;;;
;;;;"Hic_evlenmedi_sayi
";Hic_evlenmedi_yuzde;"Evli_sayi
";Evli_yuzde;"Esi_oldu_sayi
";Esi_oldu_yuzde;"Bosandi_sayi
";Bosandi_yuzde;Bilinmeyen_sayi;Bilinmeyen_yuzde
2007;Toplam-Total; 2 793;100,0; 1 146;41,0; 1 404;50,3;  131;4,7;  112;4,0;;
2007;Erkek-Male; 1 808;100,0;  735;40,7;  931;51,5;  69;3,8;  73;4,0;;
2007;Kadın-Female;  985;100,0;  411;41,7;  473;48,0;  62;6,3;  39;4,0;;
2006;Toplam-Total; 2 829;100,0; 1 148;40,6; 1 439;50,9;  137;4,8;  105;3,7;;
2006;Erkek-Male; 1 782;100,0;  690;38,7;  946;53,1;  78;4,4;  68;3,8;;
2006;Kadın-Female; 1 047;100,0;  458;43,7;  493;47,1;  59;5,6;  37;3,5;;
2005;Toplam-Total; 2 703;100,0; 1 083;40,1; 1 380;51,1;  124;4,6;  116;4,3;;
2005;Erkek-Male; 1 740;100,0;  676;38,9;  917;52,7;  74;4,3;  73;4,2;;
2005;Kadın-Female;  963;100,0;  407;42,3;  463;48,1;  50;5,2;  43;4,5;;
2004;Toplam-Total; 2 707;100,0; 1 159;42,8; 1 300;48,0;  134;5,0;  114;4,2;;
2004;Erkek-Male; 1 681;100,0;  701;41,7;  834;49,6;  71;4,2;  75;4,5;;
2004;Kadın-Female; 1 026;100,0;  458;44,6;  466;45,4;  63;6,1;  39;3,8;;
2003;Toplam-Total; 2 705;100,0; 1 115;41,2; 1 355;50,1;  143;5,3;  92;3,4;;
2003;Erkek-Male; 1 574;100,0;  607;38,6;  853;54,2;  65;4,1;  49;3,1;;
2003;Kadın-Female; 1 131;100,0;  508;44,9;  502;44,4;  78;6,9;  43;3,8;;
2002;Toplam-Total; 2 301;100,0;  928;40,3; 1 182;51,4;  93;4,0;  98;4,3;;
2002;Erkek-Male; 1 392;100,0;  542;38,9;  741;53,2;  57;4,1;  52;3,7;;
2002;Kadın-Female;  909;100,0;  386;42,5;  441;48,5;  36;4,0;  46;5,1;;
2001;Toplam-Total; 2 584;100,0; 1 015;39,3; 1 346;52,1;  125;4,8;  98;3,8;;
2001;Erkek-Male; 1 677;100,0;  650;38,8;  889;53,0;  70;4,2;  68;4,1;;
2001;Kadın-Female;  907;100,0;  365;40,2;  457;50,4;  55;6,1;  30;3,3;;
2000;Toplam-Total; 1 802;100,0;  760;42,2;  868;48,2;  84;4,7;  90;5,0;;
2000;Erkek-Male; 1 114;100,0;  477;42,8;  549;49,3;  36;3,2;  52;4,7;;
2000;Kadın-Female;  688;100,0;  283;41,1;  319;46,4;  48;7,0;  38;5,5;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
