"Yil
Year";"Il
Province";"Toplam
Total";Yas grubu Age group;;;;;;;;;;;;;;;
2024;Tekirdag;  67;0;  5;  7;  9;  6;  6;  15;  2;  4;  6;  2;0;  3;  2;;
2024;Tokat;  33;0;  4;  2;  3;  2;  1;  4;  2;  4;  1;  3;  2;  4;  1;;
2024;Trabzon;  29;0;  3;  3;  3;  3;  3;  5;  3;0;  1;  3;  1;  1;0;;
2024;Tunceli;  7;0;0;  1;  1;  2;0;0;0;  1;0;  1;0;0;  1;;
2024;Şanliurfa;  116;  6;  27;  23;  13;  13;  10;  3;  1;  6;  5;  4;  1;  1;  3;;
2024;Uşak;  26;0;  2;  6;  6;  2;  1;  2;  2;  1;  1;  1;  1;0;  1;;
2024;Van;  54;  4;  10;  8;  11;  6;  5;  1;  4;  1;0;  2;  1;0;  1;;
2024;Yozgat;  26;0;  2;  3;  1;  5;  4;  4;  3;0;  2;  2;0;0;0;;
2024;Zonguldak;  32;  1;  3;0;  4;  5;  4;  3;  2;  3;  2;0;0;  3;  2;;
2024;Aksaray;  24;  1;  1;  4;  2;  4;  3;  1;  2;  3;0;  3;0;0;0;;
2024;Bayburt;  4;0;0;  1;  2;  1;0;0;0;0;0;0;0;0;0;;
2024;Karaman;  29;  1;  4;  2;  3;  6;  3;  2;0;  1;  3;  2;  2;0;0;;
2024;Kirikkale;  22;0;  1;  3;  4;  1;  4;  3;  2;  1;  1;  1;0;0;  1;;
2024;Batman;  42;  2;  10;  10;  5;  3;  4;  2;  3;  1;  2;0;0;0;0;;
2024;Şirnak;  27;0;  3;  7;  3;  5;  4;  2;0;  1;  1;0;0;  1;0;;
2024;Bartin ;  19;0;0;  2;  1;  1;  3;  1;0;  3;  2;  1;  2;  1;  2;;
2024;Ardahan;  3;0;0;0;  1;0;0;  2;0;0;0;0;0;0;0;;
2024;igdir;  13;0;  1;  2;  4;0;  3;0;  1;0;0;0;  1;0;  1;;
2024;Yalova;  13;0;0;0;  1;  2;  1;  2;  3;  1;  1;0;0;0;  2;;
2024;Karabuk;  18;  1;  2;  2;  2;  2;  5;  1;0;0;0;  2;0;  1;0;;
2024;Kilis ;  10;0;  2;  3;  1;  3;0;  1;0;0;0;0;0;0;0;;
2024;Osmaniye;  20;0;  1;  1;  3;  4;  1;  3;  4;0;  1;0;  2;0;0;;
2024;Duzce;  27;0;0;  3;  6;  1;  4;  3;  4;  1;  2;  3;0;0;0;;
2023;Turkiye; 4 089;  81;  387;  545;  558;  443;  415;  386;  283;  203;  202;  170;  129;  111;  176;;
2023;Adana;  146;  6;  10;  22;  26;  14;  9;  9;  14;  7;  12;  4;  6;  2;  5;;
2023;Adiyaman;  20;  1;  3;  1;  4;  2;  2;  4;  1;  1;0;0;0;0;  1;;
2023;Afyonkarahisar;  44;0;  5;  6;  5;  5;  1;  4;  1;  4;  4;  2;  1;  2;  4;;
2023;Agri;  21;  2;  4;  7;  2;  1;  1;  2;0;0;0;  1;0;  1;0;;
2023;Amasya;  19;0;  1;  5;0;  3;  3;  3;  1;0;  2;0;  1;0;0;;
2023;Ankara;  293;  2;  20;  36;  43;  30;  32;  41;  18;  14;  12;  13;  7;  9;  16;;
2023;Antalya;  160;  3;  9;  21;  26;  22;  19;  12;  17;  8;  6;  10;  2;  3;  2;;
2023;Artvin;  5;0;0;  1;0;0;0;  1;  1;0;0;  1;0;  1;0;;
2023;Aydin;  78;  1;  5;  8;  7;  11;  5;  8;  6;  2;  4;  5;  4;  5;  7;;
2023;Balikesir;  90;  1;  7;  4;  11;  8;  10;  10;  9;  11;  5;  3;  2;  5;  4;;
2023;Bilecik;  7;0;  2;  2;  1;  1;0;0;0;0;0;0;0;0;  1;;
2023;Bingol;  11;  1;  2;  2;0;  2;  1;0;0;  2;  1;0;0;0;0;;
2023;Bitlis;  13;0;  1;  3;  2;  1;  1;0;  3;  1;  1;0;0;0;0;;
