"Yil
Year";"Il
Province";"Toplam
Total";Yas grubu Age group;;;;;;;;;;;;;;;
2021;Balikesir;  72;  1;  4;  5;  7;  8;  3;  6;  4;  6;  7;  4;  5;  2;  10;;
2021;Bilecik;  8;0;0;  1;0;0;0;  2;0;  1;0;0;  2;0;  2;;
2021;Bingol;  19;0;  3;  7;  2;  1;  1;  1;  1;  1;0;0;  1;0;  1;;
2021;Bitlis;  14;  1;  3;  2;  2;  2;  2;  1;  1;0;0;0;0;0;0;;
2021;Bolu;  14;0;  1;  1;  2;0;0;  3;  1;  2;  1;  1;0;  1;  1;;
2021;Burdur;  17;0;0;  4;  1;  2;  1;0;  1;  1;  1;  1;  2;0;  3;;
2021;Bursa;  164;  1;  8;  9;  21;  23;  27;  18;  15;  9;  7;  7;  7;  6;  6;;
2021;canakkale;  36;0;  1;  6;  5;  4;  1;  5;  1;  2;  2;  3;  4;  1;  1;;
2021;cankiri;  8;0;0;  1;  1;  2;  1;  1;  1;0;0;0;0;0;  1;;
2021;corum;  26;  1;  2;0;  1;  2;  2;  4;  3;  1;  7;  1;  2;0;0;;
2021;Denizli;  82;0;  13;  10;  5;  14;  7;  6;  3;  9;  2;  4;  4;  3;  2;;
2021;Diyarbakir;  107;  4;  24;  18;  15;  10;  11;  8;  3;  2;  2;  4;  1;  2;  3;;
2021;Edirne;  26;0;0;  5;  3;  3;  1;  2;  2;  3;0;  1;0;  1;  5;;
2021;Elazig;  45;0;  5;  5;  7;  5;  4;  4;  4;  2;0;  3;  4;  1;  1;;
2021;Erzincan;  10;  1;0;0;  2;  1;  2;0;  2;0;0;  1;0;0;  1;;
2021;Erzurum;  44;  3;  8;  8;  4;  3;  3;  5;  3;  3;  2;0;  1;  1;0;;
2021;Eskişehir;  54;  1;  5;  4;  7;  5;  6;  4;  3;  4;  8;  1;  4;  1;  1;;
2021;Gaziantep;  99;  4;  13;  20;  20;  8;  7;  8;  8;  1;  3;  2;  3;  1;  1;;
2021;Giresun;  21;0;  1;  2;  3;  1;  1;  5;  1;  3;  2;0;0;0;  2;;
2021;Gumuşhane;  2;0;0;0;  1;  1;0;0;0;0;0;0;0;0;0;;
2021;Hakkari;  19;0;  2;  9;0;  1;0;  2;  2;  1;  1;  1;0;0;0;;
2021;Hatay;  64;  2;  10;  8;  14;  3;  5;  3;  6;  5;  3;  3;0;  2;0;;
2021;isparta;  28;0;  1;  2;  1;  4;  2;  3;  1;  2;  4;  3;  2;0;  3;;
2021;Mersin;  120;  2;  10;  10;  18;  11;  8;  14;  9;  3;  10;  4;  9;  3;  9;;
2021;İstanbul;  577;  9;  36;  61;  76;  67;  59;  64;  60;  32;  31;  27;  22;  14;  19;;
2021;İzmir;  280;  1;  16;  27;  37;  32;  28;  33;  19;  14;  18;  21;  9;  13;  12;;
2021;Kars;  23;  1;  7;  6;  1;0;0;  2;0;  1;  3;0;0;  2;0;;
2021;Kastamonu;  22;0;  2;  1;  4;  1;0;  1;  1;  2;  3;0;  4;  1;  2;;
2021;Kayseri;  95;  3;  5;  15;  10;  16;  8;  14;  4;  5;  5;  3;  4;  1;  2;;
2021;Kirklareli;  20;0;0;  2;  1;  1;  3;  3;  1;  2;  2;  1;  2;  1;  1;;
2021;Kirşehir;  11;0;  3;  2;0;  2;0;0;0;  1;  2;  1;0;0;0;;
2021;Kocaeli;  103;  1;  8;  12;  20;  12;  10;  7;  6;  5;  8;  6;  4;  4;0;;
2021;Konya;  112;  1;  10;  21;  7;  10;  11;  15;  6;  10;  11;  5;  2;  1;  2;;
2021;Kutahya;  31;  1;  2;  2;  2;0;  6;  2;  4;  3;  3;  3;  1;0;  2;;
2021;Malatya;  30;  1;  2;  3;  2;  4;  5;  2;  2;  2;  2;  1;0;  2;  2;;
2021;Manisa;  70;  2;  5;  7;  9;  5;  7;  5;  4;  2;  6;  5;  5;  2;  6;;
2021;Kahramanmaraş;  54;  2;  7;  6;  8;  5;  2;  9;0;  1;  3;  1;  1;  4;  5;;
2021;Mardin;  42;  4;  9;  7;  5;  7;  1;  1;  2;  4;0;  1;  1;0;0;;
2021;Mugla;  64;0;  5;  3;  4;  6;  7;  10;  4;  6;  3;  6;  3;0;  7;;
2021;Muş;  18;0;  2;  4;  4;  2;  3;  1;  1;0;  1;0;0;0;0;;
2021;Nevşehir;  14;0;  1;  2;  2;  3;0;  1;  2;0;0;  1;  2;0;0;;
2021;Nigde;  14;0;  1;  3;  1;  3;  1;0;0;  1;0;  1;  1;  1;  1;;
2021;Ordu;  54;  1;  4;  6;  4;  6;  6;0;  4;  3;  6;  4;  5;  1;  4;;
2021;Rize;  15;0;0;  1;  3;0;0;  2;  1;  1;  2;  2;  2;  1;0;;
2021;Sakarya;  39;0;  3;  7;  3;  8;  3;  3;  3;  4;  1;  1;  1;  2;0;;
2021;Samsun;  74;  1;  6;  10;  7;  4;  8;  7;  9;  2;  7;  2;  2;  1;  8;;
2021;Siirt;  21;  2;  2;  3;  6;  2;  1;0;  3;0;0;  1;  1;0;0;;
2021;Sinop;  9;0;0;0;0;0;0;0;  1;  1;0;  4;  1;0;  2;;
2021;Sivas;  34;  1;  1;  3;  5;  3;  3;  3;  4;  1;  4;  2;0;  1;  3;;
2021;Tekirdag;  57;0;  1;  5;  8;  8;  6;  10;  2;  5;  2;  2;  4;  2;  2;;
2021;Tokat;  24;  1;  3;  2;  5;  3;0;  2;0;0;0;  1;  3;  1;  3;;
2021;Trabzon;  17;0;  1;  1;  2;  3;  2;  1;0;  1;  1;  2;  1;  1;  1;;
2021;Tunceli;  10;0;0;  2;  2;0;0;  2;0;  2;0;0;0;0;  2;;
2021;Şanliurfa;  82;  1;  19;  21;  15;  5;  5;  3;  2;  3;  2;  2;  1;0;  3;;
2021;Uşak;  24;0;  2;  4;  3;  2;  2;  3;  1;  2;0;  1;  1;  1;  2;;
2021;Van;  49;0;  14;  5;  1;  6;  9;  2;  3;  2;  3;  2;  2;0;0;;
2021;Yozgat;  16;  1;  2;  4;  2;  1;  1;  1;0;0;0;  1;  1;  1;  1;;
2021;Zonguldak;  37;0;  2;  3;  4;  4;  2;  5;  2;  1;  3;  4;  5;  1;  1;;
2021;Aksaray;  28;  1;  4;  6;0;  6;  2;0;  1;  1;0;  2;  3;0;  2;;
2021;Bayburt;  3;0;  1;0;  1;  1;0;0;0;0;0;0;0;0;0;;
2021;Karaman;  10;0;0;0;0;  1;  1;0;  1;  1;0;  2;  3;0;  1;;
2021;Kirikkale;  18;0;  1;  2;0;  2;  1;  3;  1;  3;  1;  2;  2;0;0;;
2021;Batman;  28;0;  7;  3;  10;  1;  1;  2;  1;  1;  1;0;  1;0;0;;
2021;Şirnak;  32;  3;  9;  9;  4;  2;0;  2;  1;  1;0;0;0;0;  1;;
2021;Bartin ;  13;0;  1;  2;0;  1;0;  2;  2;  2;  1;  1;0;0;  1;;
2021;Ardahan;  3;0;0;0;0;  2;0;0;0;0;0;0;0;0;  1;;
2021;igdir;  9;0;  2;0;  1;  2;  1;0;0;0;  1;0;  1;0;  1;;
2021;Yalova;  16;0;  1;  1;  1;  1;  1;  3;  2;  2;  3;0;0;0;  1;;
2021;Karabuk;  15;0;0;  1;0;  2;  2;  1;  3;  1;  4;  1;0;0;0;;
2021;Kilis ;  14;0;0;  5;  3;  1;  2;0;0;0;  2;0;0;  1;0;;
2021;Osmaniye;  20;0;  4;  2;  5;0;  3;0;0;  1;  1;  1;  1;  1;  1;;
2021;Duzce;  11;0;0;  1;  1;  1;  4;0;0;  1;  2;  1;0;0;0;;
2020;Turkiye; 3 710;  58;  321;  442;  443;  365;  327;  305;  279;  217;  243;  220;  144;  122;  224;;
2020;Adana;  124;  2;  12;  18;  16;  13;  15;  14;  7;  4;  6;  6;  3;  3;  5;;
2020;Adiyaman;  23;0;  5;  3;  1;0;0;0;  4;  4;  3;0;0;  3;0;;
2020;Afyonkarahisar;  38;  1;  7;  7;  1;  5;  2;  2;  2;  1;  2;  4;  2;  2;0;;
2020;Agri;  28;  2;  4;  9;  5;0;  4;  1;  1;0;0;0;  2;0;0;;
2020;Amasya;  20;0;  3;  3;  3;  2;  1;  1;  1;0;  2;  2;  2;0;0;;
2020;Ankara;  263;  1;  11;  34;  27;  31;  21;  16;  28;  18;  24;  19;  11;  6;  16;;
2020;Antalya;  120;  1;  8;  12;  8;  9;  19;  12;  14;  9;  5;  5;  4;  4;  10;;
2020;Artvin;  6;0;0;  1;  2;  1;  1;0;0;  1;0;0;0;0;0;;
2020;Aydin;  66;  1;  2;  2;  14;  8;  4;  7;  4;  1;  5;  6;  1;  3;  8;;
2020;Balikesir;  80;0;  5;  7;  7;  5;  7;  10;  7;  3;  9;  9;  4;0;  7;;
2020;Bilecik;  8;0;0;  1;  2;0;  1;0;0;0;0;  1;  1;  1;  1;;
2020;Bingol;  14;0;  1;  3;  1;  2;  2;0;  2;  1;0;0;  1;0;  1;;
2020;Bitlis;  12;  2;  3;  2;  1;  1;0;0;0;  1;0;  2;0;0;0;;
2020;Bolu;  16;0;  2;  1;  2;  4;  1;  1;0;  1;0;  1;0;  1;  2;;
2020;Burdur;  13;  1;  1;  2;  1;0;  1;0;  3;0;  1;  2;0;  1;0;;
2020;Bursa;  134;  1;  2;  10;  19;  13;  12;  12;  13;  6;  7;  14;  11;  6;  8;;
2020;canakkale;  26;0;  2;  2;  5;0;  2;0;  1;  3;  4;  2;0;  2;  3;;
2020;cankiri;  12;  2;0;  1;  2;0;  2;  1;  1;0;  1;  1;0;0;  1;;
2020;corum;  19;  1;  2;  2;0;  3;  2;  1;  1;0;  2;  1;  1;0;  3;;
2020;Denizli;  66;0;  2;  5;  6;  4;  4;  13;  8;  2;  4;  5;  6;  3;  4;;
2020;Diyarbakir;  101;  3;  25;  17;  21;  9;  5;  5;  5;  8;  1;  1;0;  1;0;;
2020;Edirne;  27;0;  1;  5;0;  1;  2;  3;  3;  1;  4;  2;0;  1;  4;;
2020;Elazig;  26;0;  2;  4;  2;  4;  1;  1;  2;0;  2;  3;  2;0;  3;;
2020;Erzincan;  10;  1;  2;  2;  1;  1;0;0;  1;  1;0;  1;0;0;0;;
2020;Erzurum;  26;0;  9;  3;  3;0;  2;  2;0;  2;  2;0;  2;  1;0;;
2020;Eskişehir;  59;0;  3;  2;  7;  6;  6;  6;  5;  4;  7;  3;  5;  3;  2;;
2020;Gaziantep;  78;  2;  6;  13;  10;  11;  14;  8;  2;  2;  2;  2;  1;0;  5;;
2020;Giresun;  18;0;  1;  1;  1;  2;0;  3;  3;  1;  2;  1;  1;  1;  1;;
2020;Gumuşhane;  2;0;  1;0;0;0;0;0;0;0;0;0;0;  1;0;;
2020;Hakkari;  21;  1;  1;  7;  2;  5;  1;  2;  2;0;0;0;0;0;0;;
2020;Hatay;  38;  1;  4;  9;  7;  3;  1;  4;  1;  1;  4;0;0;  2;  1;;
2020;isparta;  28;0;  2;  4;  2;  1;0;  3;  1;  3;  2;  2;  5;  2;  1;;
2020;Mersin;  121;  1;  8;  14;  8;  8;  17;  9;  15;  8;  8;  10;  5;  5;  5;;
2020;İstanbul;  520;  3;  33;  59;  66;  63;  53;  43;  42;  36;  36;  23;  18;  14;  31;;
2020;İzmir;  215;0;  9;  20;  27;  21;  19;  21;  20;  14;  17;  13;  12;  3;  19;;
2020;Kars;  20;  1;  6;  1;  1;  2;0;  1;  1;0;  3;  3;0;  1;0;;
2020;Kastamonu;  19;  2;  3;  1;  1;  1;  1;0;  1;  2;0;  2;  1;  2;  2;;
2020;Kayseri;  67;  2;  8;  7;  7;  8;  9;  5;  5;  4;  4;  1;  1;  2;  4;;
2020;Kirklareli;  21;  1;0;0;  3;  4;  1;  1;  3;0;  5;  2;0;0;  1;;
2020;Kirşehir;  14;0;0;  4;  2;  1;0;  1;0;0;  2;  1;  1;0;  2;;
2020;Kocaeli;  84;0;  2;  4;  7;  9;  13;  8;  4;  10;  4;  7;  5;  4;  7;;
2020;Konya;  110;  3;  8;  9;  18;  14;  12;  11;  4;  10;  6;  5;  1;  4;  5;;
2020;Kutahya;  38;0;  2;  2;  4;  1;  6;  3;  3;  2;  4;  3;  1;  4;  3;;
2020;Malatya;  44;0;  2;  9;  5;  5;  2;  4;  2;  3;  4;  3;  2;0;  3;;
2020;Manisa;  67;0;  5;  6;  7;  8;  5;  6;  4;  2;  4;  7;  6;  1;  6;;
2020;Kahramanmaraş;  39;  1;  4;  6;  5;  4;  3;  4;  2;  2;  1;  3;  3;0;  1;;
2020;Mardin;  33;  1;  9;  8;  4;  4;  1;  3;  1;  1;  1;0;0;0;0;;
2020;Mugla;  61;0;  2;  6;  6;  5;  4;  6;  5;  3;  6;  8;  3;  1;  6;;
2020;Muş;  26;  2;  13;  2;  3;  1;0;  2;  2;  1;0;0;0;0;0;;
2020;Nevşehir;  16;  1;0;  3;  1;  3;  2;  1;  2;0;  2;  1;0;0;0;;
2020;Nigde;  20;  1;  5;  4;  3;  1;  2;0;  1;  1;  1;0;0;  1;0;;
2020;Ordu;  26;0;  1;  2;  2;  5;  1;  2;  5;0;  1;  2;  2;  1;  2;;
2020;Rize;  15;0;  3;  3;0;  1;0;  1;0;  3;0;  3;0;0;  1;;
2020;Sakarya;  37;0;  4;  2;  5;  4;  4;  4;  1;  2;  2;  1;  1;  2;  5;;
2020;Samsun;  76;0;  3;  11;  11;  11;  5;  6;  7;  5;  3;  4;  2;  3;  5;;
2020;Siirt;  11;  1;  2;  2;  3;  1;0;  1;0;0;0;0;0;  1;0;;
2020;Sinop;  9;0;0;0;  1;0;0;0;0;0;  1;  1;  1;  3;  2;;
2020;Sivas;  33;  2;  2;  2;0;  3;  1;  2;  2;  5;  7;  1;0;  2;  4;;
2020;Tekirdag;  44;  1;  3;  4;  5;  3;  3;  6;  2;  3;  4;  3;  1;  2;  4;;
2020;Tokat;  17;0;  1;  4;  1;  1;  4;  2;0;  1;0;  1;  1;0;  1;;
2020;Trabzon;  22;0;  2;  3;  5;0;  2;  1;  1;  2;0;  1;  1;  3;  1;;
2020;Tunceli;  8;0;0;  2;0;  1;0;  1;  2;0;0;0;0;0;  2;;
2020;Şanliurfa;  60;  2;  12;  16;  13;  4;  6;  2;  2;  1;  1;0;  1;0;0;;
2020;Uşak;  22;0;  1;  1;  4;  1;  1;  2;  1;  2;  2;  2;  2;0;  3;;
2020;Van;  42;  3;  9;  7;  8;  6;  1;  3;0;0;  2;  1;  1;  1;0;;
2020;Yozgat;  15;0;  2;0;  1;  1;  1;0;  3;0;0;  1;0;  3;  3;;
2020;Zonguldak;  26;  1;  1;  2;0;  1;  1;  3;  2;  4;  4;  1;  2;  1;  3;;
2020;Aksaray;  19;0;  3;  5;  3;  1;0;  2;  4;0;0;0;0;  1;0;;
2020;Bayburt;  3;0;0;0;  1;  1;0;0;0;0;0;  1;0;0;0;;
2020;Karaman;  15;  1;  5;  1;  2;0;  1;0;  1;  2;0;0;0;  1;  1;;
2020;Kirikkale;  19;0;  2;  2;  2;0;  2;0;  2;0;  2;  3;  1;  2;  1;;
2020;Batman;  27;  3;  4;  3;  7;  2;  1;  2;0;  3;0;0;  1;  1;0;;
2020;Şirnak;  23;0;  3;  7;  5;  1;  1;  1;  1;  1;0;  2;0;0;  1;;
2020;Bartin ;  8;0;0;0;  1;  2;0;0;0;  1;  1;  1;0;  2;0;;
2020;Ardahan;  5;0;  1;  2;0;0;0;0;0;0;  1;  1;0;0;0;;
2020;igdir;  10;0;  3;  1;  2;  1;0;0;  1;0;0;  1;0;  1;0;;
2020;Yalova;  11;0;  1;  1;  1;  2;  1;  2;0;  1;  1;  1;0;0;0;;
2020;Karabuk;  6;0;0;0;0;  1;  1;0;0;0;  1;0;  1;  1;  1;;
2020;Kilis ;  7;0;0;0;  1;0;0;  1;  1;  1;0;0;  1;0;  2;;
2020;Osmaniye;  24;0;  4;  2;  1;  2;  5;  2;  1;  2;0;  1;  1;  2;  1;;
2020;Duzce;  13;  2;  1;0;  1;  2;  2;  2;  1;  1;  1;0;0;0;0;;
2019;Turkiye; 3 476;  66;  325;  424;  377;  376;  316;  279;  257;  260;  237;  166;  120;  84;  189;;
2019;Adana;  92;  3;  6;  11;  10;  9;  7;  9;  9;  9;  10;  5;  1;0;  3;;
2019;Adiyaman;  22;0;  4;  3;  5;0;0;  2;  2;  1;  3;0;  1;  1;0;;
2019;Afyonkarahisar;  40;  3;  6;  4;  4;  2;  5;  2;  1;  3;  1;  5;  1;  1;  2;;
2019;Agri;  14;  1;  1;  1;  3;  2;  1;0;  1;0;  2;0;  1;  1;0;;
2019;Amasya;  14;0;0;  1;0;  2;  1;  1;  1;  2;  1;0;  3;0;  2;;
2019;Ankara;  229;  4;  16;  32;  27;  26;  25;  17;  24;  8;  13;  12;  6;  11;  8;;
2019;Antalya;  106;  1;  8;  10;  13;  13;  11;  3;  11;  12;  12;  3;  3;0;  6;;
2019;Artvin;  2;0;0;0;0;0;0;  1;0;0;  1;0;0;0;0;;
2019;Aydin;  102;  1;  8;  6;  8;  10;  10;  11;  9;  8;  5;  4;  5;  5;  12;;
2019;Balikesir;  64;0;  4;  9;  4;  5;  10;  6;  6;  4;  5;  6;  2;0;  3;;
2019;Bilecik;  14;0;  1;  3;  1;  1;0;  1;  1;0;  2;  2;0;  1;  1;;
2019;Bingol;  14;  2;  4;0;  2;  3;0;0;0;  1;0;  1;  1;0;0;;
2019;Bitlis;  8;  2;  3;  1;  1;0;0;0;0;0;0;0;0;0;  1;;
2019;Bolu;  14;0;  2;  2;  3;  1;0;0;0;  1;0;0;  1;0;  4;;
2019;Burdur;  17;0;  1;0;  3;  2;  2;  1;  2;  1;  1;  1;0;  1;  2;;
2019;Bursa;  115;0;  2;  7;  8;  17;  10;  16;  14;  9;  13;  6;  5;  4;  4;;
2019;canakkale;  29;0;  4;  1;  2;  3;  2;  7;  3;  2;0;  1;  1;0;  3;;
2019;cankiri;  7;  1;0;0;0;  2;  1;  1;0;  1;0;0;  1;0;0;;
2019;corum;  28;0;  5;  3;  4;  6;0;  3;  2;  3;  1;  1;0;0;0;;
2019;Denizli;  84;0;  6;  7;  9;  7;  7;  8;  7;  7;  11;  6;  2;  3;  4;;
2019;Diyarbakir;  92;  8;  27;  14;  13;  11;  3;  6;  1;  5;  2;0;  2;0;0;;
2019;Edirne;  27;0;  1;  5;  5;  4;  1;  2;  2;  1;  1;  1;  2;  1;  1;;
2019;Elazig;  35;0;  5;  6;  3;  3;  4;  1;  4;  2;  3;0;  1;  1;  2;;
2019;Erzincan;  9;  1;0;  2;  2;0;  3;0;  1;0;0;0;0;0;0;;
2019;Erzurum;  26;0;  6;  6;  1;  5;  1;  2;0;  2;  2;0;  1;0;0;;
2019;Eskişehir;  67;0;  3;  8;  5;  2;  7;  5;  3;  9;  9;  6;  4;  2;  4;;
2019;Gaziantep;  62;  4;  8;  9;  11;  7;  5;  6;  3;  3;  2;0;  1;  1;  2;;
2019;Giresun;  12;0;0;  2;  1;  1;  2;0;  2;  1;  1;0;  2;0;0;;
2019;Gumuşhane;  4;0;  1;  1;0;  1;  1;0;0;0;0;0;0;0;0;;
2019;Hakkari;  8;0;0;0;  2;  2;0;  1;  3;0;0;0;0;0;0;;
2019;Hatay;  36;  1;  7;  6;  2;  4;  3;  3;  4;0;  2;  2;0;  1;  1;;
2019;isparta;  19;0;0;  1;  3;  1;  2;  1;  1;  1;  3;  1;  1;  2;  2;;
2019;Mersin;  91;  1;  9;  11;  10;  11;  10;  4;  4;  6;  5;  5;  4;  1;  10;;
2019;İstanbul;  442;  2;  23;  44;  57;  62;  54;  47;  34;  38;  25;  15;  11;  8;  22;;
2019;İzmir;  193;  1;  9;  19;  20;  19;  20;  14;  15;  16;  20;  10;  10;  8;  12;;
2019;Kars;  14;0;  2;  2;  2;  1;  3;  2;0;0;  1;0;0;0;  1;;
2019;Kastamonu;  23;0;  2;  2;  1;  1;  2;  5;  1;  3;  2;  1;  1;0;  2;;
2019;Kayseri;  59;  1;  7;  9;  11;  7;  4;  1;  6;  3;  6;  2;0;  1;  1;;
2019;Kirklareli;  23;0;  1;  2;  1;  1;  2;  2;  2;  3;  3;  2;  1;  2;  1;;
2019;Kirşehir;  7;  1;0;  1;0;0;0;0;0;  1;0;  2;  2;0;0;;
2019;Kocaeli;  83;  1;  1;  5;  11;  10;  13;  7;  9;  9;  8;  3;  1;  2;  3;;
2019;Konya;  104;  2;  10;  15;  13;  12;  11;  7;  4;  8;  9;  4;  2;  2;  5;;
2019;Kutahya;  28;0;  3;  2;  3;  2;  3;  2;  1;  4;  2;  2;  1;  1;  2;;
2019;Malatya;  24;0;  3;  7;  2;  1;  2;0;  1;  5;0;0;  1;0;  2;;
2019;Manisa;  82;0;  11;  9;  8;  3;  9;  4;  7;  7;  4;  8;  2;  2;  8;;
2019;Kahramanmaraş;  43;  3;  6;  9;  5;  5;  1;  2;  2;  3;0;  3;  1;  2;  1;;
2019;Mardin;  30;  2;  8;  5;  4;  1;  2;0;  2;  2;  1;  3;0;0;0;;
2019;Mugla;  66;  1;  3;  5;  6;  6;  7;  9;  4;  5;  8;  2;  2;  2;  6;;
2019;Muş;  31;  4;  10;  8;  2;  1;  1;  2;  1;0;  1;0;0;0;  1;;
2019;Nevşehir;  14;  1;0;  1;  2;  1;  1;  2;0;  1;  2;  2;  1;0;0;;
2019;Nigde;  18;  1;  4;  3;  1;  3;  1;  2;0;  1;0;  1;  1;0;0;;
2019;Ordu;  31;0;  1;  1;  1;  6;  3;  2;  3;  3;  4;0;  2;  3;  2;;
2019;Rize;  14;  1;  3;  1;  1;  1;  1;0;  2;0;0;0;0;  2;  2;;
2019;Sakarya;  27;0;  1;  6;  3;  3;  4;  2;  1;  1;  1;  1;  1;0;  3;;
2019;Samsun;  75;  2;  4;  18;  6;  9;  5;  5;  7;  6;  3;  4;  3;0;  3;;
2019;Siirt;  12;0;  6;  1;  2;  1;  2;0;0;0;0;0;0;0;0;;
2019;Sinop;  10;0;0;0;  1;0;0;  2;  1;  1;  2;  1;0;0;  2;;
2019;Sivas;  30;0;  6;  3;  3;0;0;  2;  2;  2;  1;  3;  2;0;  6;;
2019;Tekirdag;  58;0;  2;  3;  3;  9;  3;  8;  3;  7;  5;  5;  4;  4;  2;;
2019;Tokat;  33;  1;  4;  5;0;  5;  3;  5;  2;  1;0;  3;  2;0;  2;;
2019;Trabzon;  13;  1;0;  1;0;  2;  2;  1;0;  1;0;  2;  3;0;0;;
2019;Tunceli;  7;0;0;0;  1;  1;  1;0;0;  1;0;0;  1;0;  2;;
2019;Şanliurfa;  58;  3;  8;  11;  11;  3;  3;  3;  4;  1;  4;  2;  3;0;  2;;
2019;Uşak;  9;0;  1;  1;  2;0;  3;0;0;0;0;  1;0;0;  1;;
2019;Van;  66;  3;  14;  19;  5;  6;  2;  6;  5;  3;  1;  1;  1;0;0;;
2019;Yozgat;  20;0;  4;  1;  2;  2;  1;  2;  1;  2;0;  2;0;  2;  1;;
2019;Zonguldak;  31;0;  1;  3;  1;  1;  3;  1;  2;  4;  4;  2;  2;  2;  5;;
2019;Aksaray;  13;0;  2;  1;  1;0;  1;0;  3;  1;  1;  2;  1;0;0;;
2019;Bayburt;  ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
2019;Karaman;  17;0;  1;  2;  1;  1;  1;  2;  2;  4;  2;0;  1;0;0;;
2019;Kirikkale;  21;0;  2;  2;  2;  5;0;  4;  1;  1;  2;  1;0;0;  1;;
2019;Batman;  17;0;  5;  5;  3;  1;0;0;  1;  1;0;0;0;  1;0;;
2019;Şirnak;  19;  1;  2;  5;  5;  2;0;0;  1;  1;  1;0;0;0;  1;;
2019;Bartin ;  10;0;  1;0;0;  4;  1;  1;  1;0;0;  1;0;0;  1;;
2019;Ardahan;  9;0;0;  1;  1;  2;  1;  1;0;  1;0;  1;0;0;  1;;
2019;igdir;  9;0;  1;0;  2;  1;  1;  1;0;  1;0;  1;0;0;  1;;
2019;Yalova;  16;0;0;  3;  2;  3;0;  1;  1;  2;  1;  1;  1;  1;0;;
2019;Karabuk;  11;0;0;  1;0;  1;0;0;  1;  1;  1;0;  1;  2;  3;;
2019;Kilis ;  8;0;  1;  2;  1;  4;0;0;0;0;0;0;0;0;0;;
2019;Osmaniye;  26;0;  3;  6;  1;  3;  1;  2;  3;  2;0;  2;  1;0;  2;;
2019;Duzce;  19;  1;  1;  2;  2;  1;  4;0;0;  1;  1;  2;  2;0;  2;;
2018;Turkiye; 3 342;  71;  322;  380;  364;  334;  322;  284;  287;  207;  194;  190;  125;  98;  164;;
2018;Adana;  102;  1;  8;  15;  13;  15;  6;  9;  9;  4;  5;  5;  3;  3;  6;;
2018;Adiyaman;  17;0;  1;  1;  2;  2;  1;  3;  2;  1;0;  1;  1;  1;  1;;
2018;Afyonkarahisar;  29;  1;  3;  6;  4;0;  5;  2;  3;0;  2;  1;0;0;  2;;
2018;Agri;  20;  2;  4;  4;0;  2;  3;  2;  2;0;0;0;  1;0;0;;
2018;Amasya;  10;0;  1;  2;  1;0;  1;  1;0;  1;0;  2;  1;0;0;;
2018;Ankara;  200;  3;  13;  18;  26;  24;  20;  18;  23;  12;  14;  12;  5;  5;  7;;
2018;Antalya;  107;0;  7;  10;  14;  9;  11;  8;  16;  3;  12;  10;  1;  4;  2;;
2018;Artvin;  4;0;0;0;  1;  1;0;0;0;  1;  1;0;0;0;0;;
2018;Aydin;  73;  1;  6;  6;  1;  5;  5;  7;  10;  11;  2;  9;  3;  5;  2;;
2018;Balikesir;  57;  3;  3;  4;  3;  5;  5;  7;  3;  6;  3;  3;  5;  4;  3;;
2018;Bilecik;  9;0;  1;  3;0;0;0;0;  2;  1;  2;0;0;0;0;;
2018;Bingol;  8;0;  2;  1;  2;  1;0;0;  1;  1;0;0;0;0;0;;
2018;Bitlis;  16;  2;  2;  5;  1;0;  2;  2;0;  1;0;0;  1;0;0;;
2018;Bolu;  11;0;  1;  2;  1;  2;0;  2;0;0;  2;0;  1;0;0;;
2018;Burdur;  22;0;  3;  1;  3;  1;  5;  2;0;  3;  2;  1;  1;0;0;;
2018;Bursa;  118;  1;  6;  6;  16;  7;  10;  5;  14;  18;  9;  9;  7;  4;  6;;
2018;canakkale;  19;0;0;  6;  1;  2;0;  3;  3;  2;  1;  1;0;0;0;;
2018;cankiri;  7;0;0;  1;0;0;  1;  1;0;  1;0;  1;0;  1;  1;;
2018;corum;  23;  2;  3;  2;  3;  5;  1;  1;  1;0;0;0;  2;  2;  1;;
2018;Denizli;  56;0;  4;  8;  7;  2;  4;  5;  5;  4;  5;  5;  1;  2;  4;;
2018;Diyarbakir;  58;  3;  10;  13;  8;  6;  4;  3;  7;0;  1;  2;0;0;  1;;
2018;Edirne;  20;0;  3;  3;  1;  1;0;  3;  1;  2;  2;0;  1;  2;  1;;
2018;Elazig;  18;0;  2;  4;  1;  3;0;  1;  1;0;  2;  1;  1;0;  2;;
2018;Erzincan;  6;0;0;  2;0;0;0;0;  1;0;0;0;0;0;  3;;
2018;Erzurum;  33;  1;  7;  7;  1;  3;  5;  1;  2;  1;  3;  1;0;0;  1;;
2018;Eskişehir;  40;  1;  5;  4;  4;  3;  2;  5;  6;  4;0;0;  1;  1;  4;;
2018;Gaziantep;  52;  2;  6;  10;  6;  7;  8;  3;  4;0;  2;  1;  1;0;  2;;
2018;Giresun;  10;0;  1;0;  2;  3;  1;0;0;0;0;  1;  2;0;0;;
2018;Gumuşhane;  3;0;0;0;0;0;0;0;  1;0;0;  1;0;0;  1;;
2018;Hakkari;  8;  1;  1;  2;  1;  1;0;0;  1;  1;0;0;0;0;0;;
2018;Hatay;  43;  2;  6;  7;  2;  7;  4;  3;  2;  3;  2;  2;  2;  1;0;;
2018;isparta;  34;  2;  3;  7;  6;  2;  2;  1;  2;0;  2;0;  3;  1;  3;;
