İl ve cinsiyete göre intiharlar;;;;;;;;;;;;;;;;;;;;
İl;Cinsiyet;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023(r);2024;;;
Türkiye;Toplam-Total; 2 898; 2 933; 2 677; 3 287; 3 252; 3 169; 3 246; 3 193; 3 168; 3 342; 3 476; 3 710; 4 194; 4 218; 4 089; 4 460;;;
;Erkek-Male; 2 111; 2 073; 1 876; 2 377; 2 382; 2 352; 2 358; 2 426; 2 445; 2 529; 2 684; 2 845; 3 263; 3 173; 3 080; 3 499;;;
;Kadın-Female;  787;  860;  801;  910;  870;  817;  888;  767;  723;  813;  792;  865;  931; 1 045; 1 009;  961;;;
Adana;Toplam-Total;  78;  116;  84;  85;  103;  121;  97;  111;  101;  102;  92;  124;  128;  132;  146;  170;;;
;Erkek-Male;  55;  75;  62;  60;  69;  89;  65;  82;  73;  67;  63;  98;  100;  98;  118;  124;;;
;Kadın-Female;  23;  41;  22;  25;  34;  32;  32;  29;  28;  35;  29;  26;  28;  34;  28;  46;;;
Adıyaman;Toplam-Total;  22;  19;  24;  14;  22;  34;  23;  13;  23;  17;  22;  23;  23;  40;  20;  30;;;
;Erkek-Male;  11;  13;  18;  9;  16;  24;  16;  8;  14;  12;  21;  17;  16;  25;  9;  23;;;
;Kadın-Female;  11;  6;  6;  5;  6;  10;  7;  5;  9;  5;  1;  6;  7;  15;  11;  7;;;
Afyonkarahisar;Toplam-Total;  27;  30;  32;  28;  40;  30;  38;  44;  40;  29;  40;  38;  37;  41;  44;  47;;;
;Erkek-Male;  22;  17;  21;  21;  29;  20;  25;  33;  33;  23;  26;  28;  31;  25;  36;  30;;;
;Kadın-Female;  5;  13;  11;  7;  11;  10;  13;  11;  7;  6;  14;  10;  6;  16;  8;  17;;;
Ağrı;Toplam-Total;  21;  24;  24;  20;  25;  18;  30;  29;  28;  20;  14;  28;  25;  18;  21;  16;;;
;Erkek-Male;  8;  12;  12;  9;  12;  8;  14;  22;  20;  12;  10;  16;  19;  12;  14;  13;;;
;Kadın-Female;  13;  12;  12;  11;  13;  10;  16;  7;  8;  8;  4;  12;  6;  6;  7;  3;;;
Amasya;Toplam-Total;  8;  15;  11;  9;  12;  13;  12;  7;  9;  10;  14;  20;  14;  11;  19;  9;;;
;Erkek-Male;  8;  9;  7;  9;  9;  12;  10;  6;  9;  8;  14;  15;  10;  8;  13;  7;;;
;Kadın-Female;;  6;  4;;  3;  1;  2;  1;;  2;;  5;  4;  3;  6;  2;;;
Ankara;Toplam-Total;  169;  184;  172;  220;  196;  219;  227;  173;  173;  200;  229;  263;  268;  277;  293;  300;;;
;Erkek-Male;  124;  137;  124;  168;  153;  167;  176;  143;  133;  147;  185;  207;  211;  218;  222;  230;;;
;Kadın-Female;  45;  47;  48;  52;  43;  52;  51;  30;  40;  53;  44;  56;  57;  59;  71;  70;;;
Antalya;Toplam-Total;  106;  105;  101;  102;  100;  112;  105;  88;  109;  107;  106;  120;  150;  158;  160;  168;;;
;Erkek-Male;  83;  79;  68;  78;  69;  74;  79;  65;  89;  83;  89;  90;  111;  120;  117;  132;;;
;Kadın-Female;  23;  26;  33;  24;  31;  38;  26;  23;  20;  24;  17;  30;  39;  38;  43;  36;;;
Artvin;Toplam-Total;  5;  1;  5;  7;  5;  8;  9;  3;  6;  4;  2;  6;  7;  7;  5;  9;;;
;Erkek-Male;  3;;  3;  4;  4;  6;  8;  2;  4;  3;  2;  4;  5;  7;  3;  8;;;
;Kadın-Female;  2;  1;  2;  3;  1;  2;  1;  1;  2;  1;;  2;  2;;  2;  1;;;
Aydın;Toplam-Total;  82;  75;  69;  73;  62;  68;  66;  80;  60;  73;  102;  66;  81;  76;  78;  94;;;
;Erkek-Male;  62;  57;  56;  47;  44;  56;  48;  65;  46;  60;  81;  50;  65;  62;  62;  66;;;
;Kadın-Female;  20;  18;  13;  26;  18;  12;  18;  15;  14;  13;  21;  16;  16;  14;  16;  28;;;
Balıkesir;Toplam-Total;  57;  61;  42;  53;  58;  63;  58;  67;  53;  57;  64;  80;  72;  78;  90;  76;;;
;Erkek-Male;  45;  51;  28;  37;  42;  50;  42;  56;  44;  52;  48;  64;  61;  58;  67;  59;;;
;Kadın-Female;  12;  10;  14;  16;  16;  13;  16;  11;  9;  5;  16;  16;  11;  20;  23;  17;;;
Bilecik;Toplam-Total;  15;  16;  4;  11;  10;  14;  13;  13;  9;  9;  14;  8;  8;  13;  7;  12;;;
;Erkek-Male;  12;  8;  3;  10;  9;  11;  12;  12;  7;  9;  10;  7;  7;  11;  6;  10;;;
;Kadın-Female;  3;  8;  1;  1;  1;  3;  1;  1;  2;;  4;  1;  1;  2;  1;  2;;;
Bingöl;Toplam-Total;  9;  12;  13;  17;  20;  26;  18;  10;  9;  8;  14;  14;  19;  14;  11;  13;;;
;Erkek-Male;  6;  10;  6;  9;  13;  18;  13;  6;  6;  7;  8;  10;  13;  10;  5;  8;;;
;Kadın-Female;  3;  2;  7;  8;  7;  8;  5;  4;  3;  1;  6;  4;  6;  4;  6;  5;;;
Bitlis;Toplam-Total;  11;  8;  16;  13;  11;  10;  12;  5;  13;  16;  8;  12;  14;  16;  13;  21;;;
;Erkek-Male;  3;  2;  7;  4;  5;  6;  7;  3;  9;  13;  7;  8;  8;  9;  11;  15;;;
;Kadın-Female;  8;  6;  9;  9;  6;  4;  5;  2;  4;  3;  1;  4;  6;  7;  2;  6;;;
Bolu;Toplam-Total;  7;  14;  8;  9;  13;  14;  13;  11;  8;  11;  14;  16;  14;  19;  15;  16;;;
;Erkek-Male;  6;  12;  4;  7;  9;  14;  11;  10;  7;  11;  12;  8;  12;  13;  10;  15;;;
;Kadın-Female;  1;  2;  4;  2;  4;;  2;  1;  1;;  2;  8;  2;  6;  5;  1;;;
